Domain,Core Field,Job Role,Aptitude (LRDI),Aptitude (QA),Aptitude (VARC),EQ,Personality,Skills
Finance and Accounting,Financial Analysis:,Actuarial Analyst,11,11,7,8,INTJ,"Actuarial Analysis, Statistical Modeling, Data Analysis, Reporting"
Finance and Accounting,Financial Analysis:,Commodity Analyst,11,11,7,3,ISTP,"Commodity Markets, Data Analysis, Financial Analysis, Reporting"
Finance and Accounting,Financial Analysis:,Equity Research Analyst,11,11,7,8,INTJ,"Due diligence, deal structuring, investment valuation, financial modeling, negotiation skills. Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Financial Analysis:,Financial Analyst,11,11,7,7,INTJ,"Financial analysis, budgeting, variance analysis, financial reporting, Excel proficiency, Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Financial Analysis:,Financial Analyst,11,11,7,7,INTJ,"Financial modeling, investment analysis, risk assessment, and financial reporting to support decision-making and performance evaluation. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Finance and Accounting,Financial Analysis:,Financial Analyst,11,11,7,7,INTJ,"Analytical skills, financial modeling, Excel proficiency, data analysis, communication"
Finance and Accounting,Financial Analysis:,Financial Analyst,11,11,7,7,INTJ,"Financial Analysis, Data Analysis, Reporting, Financial Modeling"
Finance and Accounting,Financial Analysis:,Financial Analyst,11,11,7,7,INTJ,"Financial Analysis, Data Analysis, Reporting, Market Research"
Finance and Accounting,Financial Analysis:,Financial Economist,11,11,7,5,INTP,"Expertise in financial markets, econometric modeling, risk analysis, and forecasting, along with proficiency in financial software and statistical tools. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Finance and Accounting,Financial Analysis:,Financial Planner,11,11,7,4,INFJ,"Financial goal setting, investment planning, retirement planning, tax planning, client relationship management. Strong Analytical Skills, Communication Skills, Proficiency in mathematics, statistics, and financial mathematics for analysis and modeling, Adaptability, Leadership and Teamwork"
Finance and Accounting,Financial Analysis:,Financial Planner,11,11,7,4,INFJ,"Financial planning, investment advisory, risk management, and client relationship management for individual and corporate clients. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Finance and Accounting,Financial Analysis:,Junior Financial Analyst,11,11,7,3,ISTP,"Basic financial analysis, data entry, financial reporting, Excel proficiency"
Finance and Accounting,Financial Analysis:,Risk Analyst,11,11,7,8,INTJ,"Understanding of financial statements and ability to assess financial risk, Proficiency in quantitative methods and tools for risk modeling and analysis, Critical thinking and Problem- solving ability"
